at;content;cleaning;case_folding;hasil_normalisasi;tokenize;stopword removal;steming_data;stemming;Score;Sentiment
2025-07-11 01:29:53;lebih mudah;lebih mudah;lebih mudah;lebih mudah;['lebih', 'mudah'];['mudah'];mudah;mudah;4.0;Positif
2025-07-10 15:33:20;apaan dah sertifikat nya ga bisa di unduh;apaan dah sertifikat nya ga bisa di unduh;apaan dah sertifikat nya ga bisa di unduh;apaan sudah sertifikat ya tidak bisa di unduh;['apaan', 'sudah', 'sertifikat', 'ya', 'tidak', 'bisa', 'di', 'unduh'];['sertifikat', 'ya', 'unduh'];sertifikat ya unduh;sertifikat ya unduh;4.0;Positif
2025-07-10 15:05:33;aplikasi tidak berfungsi;aplikasi tidak berfungsi;aplikasi tidak berfungsi;aplikasi tidak berfungsi;['aplikasi', 'tidak', 'berfungsi'];['aplikasi', 'berfungsi'];aplikasi fungsi;aplikasi fungsi;-4.0;Negatif
2025-07-10 13:36:19;tidak bisa mengunduh sertifikat vaksin, padahal sangat di butuhkan untuk melamar pekerjaan, sdh hubungi helpdesk tetap tdk ada jawaban;tidak bisa mengunduh sertifikat vaksin padahal sangat di butuhkan untuk melamar pekerjaan sdh hubungi helpdesk tetap tdk ada jawaban;tidak bisa mengunduh sertifikat vaksin padahal sangat di butuhkan untuk melamar pekerjaan sdh hubungi helpdesk tetap tdk ada jawaban;tidak bisa mengunduh sertifikat vaksin padahal sangat di butuhkan untuk melamar pekerjaan sudah hubungi helpdesk tetap tidak ada jawaban;['tidak', 'bisa', 'mengunduh', 'sertifikat', 'vaksin', 'padahal', 'sangat', 'di', 'butuhkan', 'untuk', 'melamar', 'pekerjaan', 'sudah', 'hubungi', 'helpdesk', 'tetap', 'tidak', 'ada', 'jawaban'];['mengunduh', 'sertifikat', 'vaksin', 'butuhkan', 'melamar', 'pekerjaan', 'hubungi', 'helpdesk'];unduh sertifikat vaksin butuh lamar kerja hubung helpdesk;unduh sertifikat vaksin butuh lamar kerja hubung helpdesk;-2.0;Negatif
2025-07-10 12:25:36;mogaa lancar trs yaa apk nyaa;mogaa lancar trs yaa apk nyaa;mogaa lancar trs yaa apk nyaa;mogaa lancar terus ya apk nya;['mogaa', 'lancar', 'terus', 'ya', 'apk', 'nya'];['mogaa', 'lancar', 'ya', 'apk', 'nya'];mogaa lancar ya apk nya;mogaa lancar ya apk nya;8.0;Positif
2025-07-10 12:06:08;ampun deh mau masuk akun aja seribet itu lupa PIN udah masukin kode verifikasi sesuai yg di email. malah pas masukin kodenya katanya kode tidak sesuai terus duh ampun deh padahal kode udah bener.;ampun deh mau masuk akun aja seribet itu lupa PIN udah masukin kode verifikasi sesuai yg di email malah pas masukin kodenya katanya kode tidak sesuai terus duh ampun deh padahal kode udah bener;ampun deh mau masuk akun aja seribet itu lupa pin udah masukin kode verifikasi sesuai yg di email malah pas masukin kodenya katanya kode tidak sesuai terus duh ampun deh padahal kode udah bener;ampun deh mau masuk akun saja seribet itu lupa pin sudah memasuki kode verifikasi sesuai yang di email malah pas memasuki kodenya katanya kode tidak sesuai terus duh ampun deh padahal kode sudah benar;['ampun', 'deh', 'mau', 'masuk', 'akun', 'saja', 'seribet', 'itu', 'lupa', 'pin', 'sudah', 'memasuki', 'kode', 'verifikasi', 'sesuai', 'yang', 'di', 'email', 'malah', 'pas', 'memasuki', 'kodenya', 'katanya', 'kode', 'tidak', 'sesuai', 'terus', 'duh', 'ampun', 'deh', 'padahal', 'kode', 'sudah', 'benar'];['ampun', 'deh', 'masuk', 'akun', 'seribet', 'lupa', 'pin', 'memasuki', 'kode', 'verifikasi', 'sesuai', 'email', 'pas', 'memasuki', 'kodenya', 'kode', 'sesuai', 'duh', 'ampun', 'deh', 'kode'];ampun deh masuk akun seribet lupa pin pasuk kode verifikasi sesuai email pas pasuk kode kode sesuai duh ampun deh kode;ampun deh masuk akun seribet lupa pin pasuk kode verifikasi sesuai email pas pasuk kode kode sesuai duh ampun deh kode;-3.0;Negatif
2025-07-10 10:56:46;kode verifikasinya ga keluar mulu gimana mau daftar kalo gitu;kode verifikasinya ga keluar mulu gimana mau daftar kalo gitu;kode verifikasinya ga keluar mulu gimana mau daftar kalo gitu;kode verifikasinya tidak keluar mulu bagaimana mau daftar kalau begitu;['kode', 'verifikasinya', 'tidak', 'keluar', 'mulu', 'bagaimana', 'mau', 'daftar', 'kalau', 'begitu'];['kode', 'verifikasinya', 'mulu', 'daftar'];kode verifikasi mulu daftar;kode verifikasi mulu daftar;0.0;Netral
2025-07-10 10:18:34;kode otp nya lari kemana , apknya kalah ama myXL yg gercep kalo soal kode verifikasi, giliran respon soal pemberian rating gercep minta ampun , MAU DAFTAR GA MASUK2 , KODE VERIFIKASI NGGA MUNCUL2 CAPEKK LAH;kode otp nya lari kemana apknya kalah ama myXL yg gercep kalo soal kode verifikasi giliran respon soal pemberian rating gercep minta ampun MAU DAFTAR GA MASUK KODE VERIFIKASI NGGA MUNCUL CAPEKK LAH;kode otp nya lari kemana apknya kalah ama myxl yg gercep kalo soal kode verifikasi giliran respon soal pemberian rating gercep minta ampun mau daftar ga masuk kode verifikasi ngga muncul capekk lah;kode otp ya lari kemana apknya kalah sama myxl yang gercep kalau soal kode verifikasi giliran respon soal pemberian rating gercep meminta ampun mau daftar tidak masuk kode verifikasi tidak muncul capekk lah;['kode', 'otp', 'ya', 'lari', 'kemana', 'apknya', 'kalah', 'sama', 'myxl', 'yang', 'gercep', 'kalau', 'soal', 'kode', 'verifikasi', 'giliran', 'respon', 'soal', 'pemberian', 'rating', 'gercep', 'meminta', 'ampun', 'mau', 'daftar', 'tidak', 'masuk', 'kode', 'verifikasi', 'tidak', 'muncul', 'capekk', 'lah'];['kode', 'otp', 'ya', 'lari', 'kemana', 'apknya', 'kalah', 'myxl', 'gercep', 'kode', 'verifikasi', 'giliran', 'respon', 'pemberian', 'rating', 'gercep', 'ampun', 'daftar', 'masuk', 'kode', 'verifikasi', 'muncul', 'capekk'];kode otp ya lari mana apknya kalah myxl gercep kode verifikasi gilir respon beri rating gercep ampun daftar masuk kode verifikasi muncul capekk;kode otp ya lari mana apknya kalah myxl gercep kode verifikasi gilir respon beri rating gercep ampun daftar masuk kode verifikasi muncul capekk;-7.0;Negatif
2025-07-10 09:45:51;sorry to say, but.. ini apk gembel bgt, cek ini lama itu lama, verif no hp gbs verif email gbs, tombol simpan nya biru tp ga berfungsi, di klik gd perubahan, dicoba ddi lain waktu ttp aja, jgn nyalahin perangkat atau koneksi sy, aman² aja pdhal;sorry to say but ini apk gembel bgt cek ini lama itu lama verif no hp gbs verif email gbs tombol simpan nya biru tp ga berfungsi di klik gd perubahan dicoba ddi lain waktu ttp aja jgn nyalahin perangkat atau koneksi sy aman aja pdhal;sorry to say but ini apk gembel bgt cek ini lama itu lama verif no hp gbs verif email gbs tombol simpan nya biru tp ga berfungsi di klik gd perubahan dicoba ddi lain waktu ttp aja jgn nyalahin perangkat atau koneksi sy aman aja pdhal;sorry tapi sayang but ini apk gembel banget cek ini lama itu lama verif no hp tidak bisa verif email tidak bisa tombol simpan ya biru tapi tidak berfungsi di klik gd perubahan dicoba ddi lain waktu tetap saja jangan menyalahkan perangkat atau koneksi saya aman saja padahal;['sorry', 'tapi', 'sayang', 'but', 'ini', 'apk', 'gembel', 'banget', 'cek', 'ini', 'lama', 'itu', 'lama', 'verif', 'no', 'hp', 'tidak', 'bisa', 'verif', 'email', 'tidak', 'bisa', 'tombol', 'simpan', 'ya', 'biru', 'tapi', 'tidak', 'berfungsi', 'di', 'klik', 'gd', 'perubahan', 'dicoba', 'ddi', 'lain', 'waktu', 'tetap', 'saja', 'jangan', 'menyalahkan', 'perangkat', 'atau', 'koneksi', 'saya', 'aman', 'saja', 'padahal'];['sorry', 'sayang', 'but', 'apk', 'gembel', 'banget', 'cek', 'verif', 'no', 'hp', 'verif', 'email', 'tombol', 'simpan', 'ya', 'biru', 'berfungsi', 'klik', 'gd', 'perubahan', 'dicoba', 'ddi', 'menyalahkan', 'perangkat', 'koneksi', 'aman'];sorry sayang but apk gembel banget cek verif no hp verif email tombol simpan ya biru fungsi klik gd ubah coba ddi salah perangkat koneksi aman;sorry sayang but apk gembel banget cek verif no hp verif email tombol simpan ya biru fungsi klik gd ubah coba ddi salah perangkat koneksi aman;-8.0;Negatif
2025-07-10 09:29:35;busuk otp lambat ga ada otp yg masuk;busuk otp lambat ga ada otp yg masuk;busuk otp lambat ga ada otp yg masuk;busuk otp lambat tidak ada otp yang masuk;['busuk', 'otp', 'lambat', 'tidak', 'ada', 'otp', 'yang', 'masuk'];['busuk', 'otp', 'lambat', 'otp', 'masuk'];busuk otp lambat otp masuk;busuk otp lambat otp masuk;-7.0;Negatif
2025-07-10 09:11:40;aplikasi sering eror pas mau masuk, sekalinya udah bisa kode verifikasi tidak kunjung terkirim 👎👎 mohon untuk diperbaiki;aplikasi sering eror pas mau masuk sekalinya udah bisa kode verifikasi tidak kunjung terkirim mohon untuk diperbaiki;aplikasi sering eror pas mau masuk sekalinya udah bisa kode verifikasi tidak kunjung terkirim mohon untuk diperbaiki;aplikasi sering eror pas mau masuk sekalinya sudah bisa kode verifikasi tidak kunjung terkirim mohon untuk diperbaiki;['aplikasi', 'sering', 'eror', 'pas', 'mau', 'masuk', 'sekalinya', 'sudah', 'bisa', 'kode', 'verifikasi', 'tidak', 'kunjung', 'terkirim', 'mohon', 'untuk', 'diperbaiki'];['aplikasi', 'eror', 'pas', 'masuk', 'sekalinya', 'kode', 'verifikasi', 'kunjung', 'terkirim', 'mohon', 'diperbaiki'];aplikasi eror pas masuk sekali kode verifikasi kunjung kirim mohon baik;aplikasi eror pas masuk sekali kode verifikasi kunjung kirim mohon baik;-2.0;Negatif
2025-07-10 08:59:26;Kode verifikasi nya tidak terkirim, padahal nomor sudah benar dan pernah daftar;Kode verifikasi nya tidak terkirim padahal nomor sudah benar dan pernah daftar;kode verifikasi nya tidak terkirim padahal nomor sudah benar dan pernah daftar;kode verifikasi ya tidak terkirim padahal nomor sudah benar dan pernah daftar;['kode', 'verifikasi', 'ya', 'tidak', 'terkirim', 'padahal', 'nomor', 'sudah', 'benar', 'dan', 'pernah', 'daftar'];['kode', 'verifikasi', 'ya', 'terkirim', 'nomor', 'daftar'];kode verifikasi ya kirim nomor daftar;kode verifikasi ya kirim nomor daftar;4.0;Positif
2025-07-10 08:57:57;berkali-kali di coba,TPI ga bisa daftar,tetap di masukan kode,TPI kodenya ga terkirim ke nomor yg di isi,APK rusak;berkalikali di cobaTPI ga bisa daftartetap di masukan kodeTPI kodenya ga terkirim ke nomor yg di isiAPK rusak;berkalikali di cobatpi ga bisa daftartetap di masukan kodetpi kodenya ga terkirim ke nomor yg di isiapk rusak;berkalikali di cobatpi tidak bisa daftartetap di masukan kodetpi kodenya tidak terkirim ke nomor yang di isiapk rusak;['berkalikali', 'di', 'cobatpi', 'tidak', 'bisa', 'daftartetap', 'di', 'masukan', 'kodetpi', 'kodenya', 'tidak', 'terkirim', 'ke', 'nomor', 'yang', 'di', 'isiapk', 'rusak'];['berkalikali', 'cobatpi', 'daftartetap', 'masukan', 'kodetpi', 'kodenya', 'terkirim', 'nomor', 'isiapk', 'rusak'];berkalikali cobatpi daftartetap masuk kodetpi kode kirim nomor isiapk rusak;berkalikali cobatpi daftartetap masuk kodetpi kode kirim nomor isiapk rusak;-1.0;Negatif
2025-07-10 08:53:44;aplilasi sampah gak bisa dibuka;aplilasi sampah gak bisa dibuka;aplilasi sampah gak bisa dibuka;aplilasi sampah tidak bisa dibuka;['aplilasi', 'sampah', 'tidak', 'bisa', 'dibuka'];['aplilasi', 'sampah', 'dibuka'];aplilasi sampah buka;aplilasi sampah buka;-1.0;Negatif
2025-07-10 08:28:29;gimana sih ini aplikasi setiap di buka cuma layar item aja!;gimana sih ini aplikasi setiap di buka cuma layar item aja;gimana sih ini aplikasi setiap di buka cuma layar item aja;bagaimana sih ini aplikasi setiap di buka cuma layar item saja;['bagaimana', 'sih', 'ini', 'aplikasi', 'setiap', 'di', 'buka', 'cuma', 'layar', 'item', 'saja'];['sih', 'aplikasi', 'buka', 'layar', 'item'];sih aplikasi buka layar item;sih aplikasi buka layar item;-5.0;Negatif
2025-07-10 07:40:27;gajelas banget, login pake nomer hp minta otp tpi ga dikirim²;gajelas banget login pake nomer hp minta otp tpi ga dikirim;gajelas banget login pake nomer hp minta otp tpi ga dikirim;tidak jelas banget login pakai nomer hp meminta otp tapi tidak dikirim;['tidak', 'jelas', 'banget', 'login', 'pakai', 'nomer', 'hp', 'meminta', 'otp', 'tapi', 'tidak', 'dikirim'];['banget', 'login', 'pakai', 'nomer', 'hp', 'otp', 'dikirim'];banget login pakai nomer hp otp kirim;banget login pakai nomer hp otp kirim;3.0;Positif
2025-07-10 07:27:52;untuk download sertifikat vaksinnya di perbaiki dong masa gabisa, udah gitu afknya suka lag lagi patah patah, itu sertifikat gimana tuh, gabisa di download aneh sekali ga sesuai sama postingan;untuk download sertifikat vaksinnya di perbaiki dong masa gabisa udah gitu afknya suka lag lagi patah patah itu sertifikat gimana tuh gabisa di download aneh sekali ga sesuai sama postingan;untuk download sertifikat vaksinnya di perbaiki dong masa gabisa udah gitu afknya suka lag lagi patah patah itu sertifikat gimana tuh gabisa di download aneh sekali ga sesuai sama postingan;untuk download sertifikat vaksinnya di perbaiki dong masa tidak bisa sudah begitu afknya suka lag lagi patah patah itu sertifikat bagaimana tuh tidak bisa di download aneh sekali tidak sesuai sama postingan;['untuk', 'download', 'sertifikat', 'vaksinnya', 'di', 'perbaiki', 'dong', 'masa', 'tidak', 'bisa', 'sudah', 'begitu', 'afknya', 'suka', 'lag', 'lagi', 'patah', 'patah', 'itu', 'sertifikat', 'bagaimana', 'tuh', 'tidak', 'bisa', 'di', 'download', 'aneh', 'sekali', 'tidak', 'sesuai', 'sama', 'postingan'];['download', 'sertifikat', 'vaksinnya', 'perbaiki', 'afknya', 'suka', 'lag', 'patah', 'patah', 'sertifikat', 'tuh', 'download', 'aneh', 'sesuai', 'postingan'];download sertifikat vaksin baik afknya suka lag patah patah sertifikat tuh download aneh sesuai postingan;download sertifikat vaksin baik afknya suka lag patah patah sertifikat tuh download aneh sesuai postingan;5.0;Positif
2025-07-10 07:09:28;Perlu perbaiakan aplikasi, karna tidak bisa login, dan banyan lagi permasalahn;Perlu perbaiakan aplikasi karna tidak bisa login dan banyan lagi permasalahn;perlu perbaiakan aplikasi karna tidak bisa login dan banyan lagi permasalahn;perlu perbaiakan aplikasi karena tidak bisa login dan banyan lagi permasalahn;['perlu', 'perbaiakan', 'aplikasi', 'karena', 'tidak', 'bisa', 'login', 'dan', 'banyan', 'lagi', 'permasalahn'];['perbaiakan', 'aplikasi', 'login', 'banyan', 'permasalahn'];perbaiakan aplikasi login banyan permasalahn;perbaiakan aplikasi login banyan permasalahn;-4.0;Negatif
2025-07-10 05:30:42;aplikasi gk guna, mau download sertifikat vaksin malah ga bisa;aplikasi gk guna mau download sertifikat vaksin malah ga bisa;aplikasi gk guna mau download sertifikat vaksin malah ga bisa;aplikasi tidak guna mau download sertifikat vaksin malah tidak bisa;['aplikasi', 'tidak', 'guna', 'mau', 'download', 'sertifikat', 'vaksin', 'malah', 'tidak', 'bisa'];['aplikasi', 'download', 'sertifikat', 'vaksin'];aplikasi download sertifikat vaksin;aplikasi download sertifikat vaksin;-4.0;Negatif
2025-07-10 04:40:56;saya melakukan log in. Memasukan pin benar disalahkan, lalu saya pencet lupa pin diarahkan verifikasi email. Bahkan kode verifikasi email yang diberikan dimasukkan juga salah sata tidak bisa berkata kata lagi;saya melakukan log in Memasukan pin benar disalahkan lalu saya pencet lupa pin diarahkan verifikasi email Bahkan kode verifikasi email yang diberikan dimasukkan juga salah sata tidak bisa berkata kata lagi;saya melakukan log in memasukan pin benar disalahkan lalu saya pencet lupa pin diarahkan verifikasi email bahkan kode verifikasi email yang diberikan dimasukkan juga salah sata tidak bisa berkata kata lagi;saya melakukan log ini memasukan pin benar disalahkan lalu saya pencet lupa pin diarahkan verifikasi email bahkan kode verifikasi email yang diberikan dimasukkan juga salah sata tidak bisa berkata kata lagi;['saya', 'melakukan', 'log', 'ini', 'memasukan', 'pin', 'benar', 'disalahkan', 'lalu', 'saya', 'pencet', 'lupa', 'pin', 'diarahkan', 'verifikasi', 'email', 'bahkan', 'kode', 'verifikasi', 'email', 'yang', 'diberikan', 'dimasukkan', 'juga', 'salah', 'sata', 'tidak', 'bisa', 'berkata', 'kata', 'lagi'];['log', 'memasukan', 'pin', 'disalahkan', 'pencet', 'lupa', 'pin', 'diarahkan', 'verifikasi', 'email', 'kode', 'verifikasi', 'email', 'dimasukkan', 'salah', 'sata'];log pasu pin salah pencet lupa pin arah verifikasi email kode verifikasi email masuk salah sata;log pasu pin salah pencet lupa pin arah verifikasi email kode verifikasi email masuk salah sata;-14.0;Negatif
2025-07-10 03:58:41;kenapa saya tidak bisa mengunduh sertifikat vaksin covid 19 gelombang 1 dan gelombang 2.saat diunduh selalu gagal,mohon bantuannya 🙏🏻;kenapa saya tidak bisa mengunduh sertifikat vaksin covid gelombang dan gelombang saat diunduh selalu gagalmohon bantuannya;kenapa saya tidak bisa mengunduh sertifikat vaksin covid gelombang dan gelombang saat diunduh selalu gagalmohon bantuannya;kenapa saya tidak bisa mengunduh sertifikat vaksin covid gelombang dan gelombang saat diunduh selalu gagalmohon bantuannya;['kenapa', 'saya', 'tidak', 'bisa', 'mengunduh', 'sertifikat', 'vaksin', 'covid', 'gelombang', 'dan', 'gelombang', 'saat', 'diunduh', 'selalu', 'gagalmohon', 'bantuannya'];['mengunduh', 'sertifikat', 'vaksin', 'covid', 'gelombang', 'gelombang', 'diunduh', 'gagalmohon', 'bantuannya'];unduh sertifikat vaksin covid gelombang gelombang unduh gagalmohon bantu;unduh sertifikat vaksin covid gelombang gelombang unduh gagalmohon bantu;3.0;Positif
2025-07-10 02:01:33;verifikasi pakai whatsapp tidak ada kiriman, pakai email pun juga tidak bisa... Ini bagaimana bisa daftarnya???;verifikasi pakai whatsapp tidak ada kiriman pakai email pun juga tidak bisa Ini bagaimana bisa daftarnya;verifikasi pakai whatsapp tidak ada kiriman pakai email pun juga tidak bisa ini bagaimana bisa daftarnya;verifikasi pakai whatsapp tidak ada kiriman pakai email pun juga tidak bisa ini bagaimana bisa daftarnya;['verifikasi', 'pakai', 'whatsapp', 'tidak', 'ada', 'kiriman', 'pakai', 'email', 'pun', 'juga', 'tidak', 'bisa', 'ini', 'bagaimana', 'bisa', 'daftarnya'];['verifikasi', 'pakai', 'whatsapp', 'kiriman', 'pakai', 'email', 'daftarnya'];verifikasi pakai whatsapp kirim pakai email daftar;verifikasi pakai whatsapp kirim pakai email daftar;3.0;Positif
2025-07-10 01:15:57;login aja gk bisa terus kode nya gk muncul pakek email kode muncul pas di masukan gagal;login aja gk bisa terus kode nya gk muncul pakek email kode muncul pas di masukan gagal;login aja gk bisa terus kode nya gk muncul pakek email kode muncul pas di masukan gagal;login saja tidak bisa terus kode ya tidak muncul pakai email kode muncul pas di masukan gagal;['login', 'saja', 'tidak', 'bisa', 'terus', 'kode', 'ya', 'tidak', 'muncul', 'pakai', 'email', 'kode', 'muncul', 'pas', 'di', 'masukan', 'gagal'];['login', 'kode', 'ya', 'muncul', 'pakai', 'email', 'kode', 'muncul', 'pas', 'masukan', 'gagal'];login kode ya muncul pakai email kode muncul pas masuk gagal;login kode ya muncul pakai email kode muncul pas masuk gagal;-4.0;Negatif
2025-07-10 00:28:14;verifikasi wa tidak masuk-masuk, aplikasi sangat jelek;verifikasi wa tidak masukmasuk aplikasi sangat jelek;verifikasi wa tidak masukmasuk aplikasi sangat jelek;verifikasi wa tidak masukmasuk aplikasi sangat jelek;['verifikasi', 'wa', 'tidak', 'masukmasuk', 'aplikasi', 'sangat', 'jelek'];['verifikasi', 'wa', 'masukmasuk', 'aplikasi', 'jelek'];verifikasi wa masukmasuk aplikasi jelek;verifikasi wa masukmasuk aplikasi jelek;-9.0;Negatif
2025-07-10 00:25:30;tidak bisa verifikasi otp tidak muncul;tidak bisa verifikasi otp tidak muncul;tidak bisa verifikasi otp tidak muncul;tidak bisa verifikasi otp tidak muncul;['tidak', 'bisa', 'verifikasi', 'otp', 'tidak', 'muncul'];['verifikasi', 'otp', 'muncul'];verifikasi otp muncul;verifikasi otp muncul;1.0;Positif
2025-07-09 23:50:58;aplikasi gak jelas, suka auto logout sendiri, lemot, lelet.;aplikasi gak jelas suka auto logout sendiri lemot lelet;aplikasi gak jelas suka auto logout sendiri lemot lelet;aplikasi tidak jelas suka auto logout sendiri lemot lelet;['aplikasi', 'tidak', 'jelas', 'suka', 'auto', 'logout', 'sendiri', 'lemot', 'lelet'];['aplikasi', 'suka', 'auto', 'logout', 'lemot', 'lelet'];aplikasi suka auto logout lot lelet;aplikasi suka auto logout lot lelet;-6.0;Negatif
2025-07-09 15:49:51;Bagus;Bagus;bagus;bagus;['bagus'];['bagus'];bagus;bagus;2.0;Positif
2025-07-09 14:27:38;apa ini tidak bisa donwload sertifikat vaksin? coba lagi nanti sampai berapa lama coba;apa ini tidak bisa donwload sertifikat vaksin coba lagi nanti sampai berapa lama coba;apa ini tidak bisa donwload sertifikat vaksin coba lagi nanti sampai berapa lama coba;apa ini tidak bisa donwload sertifikat vaksin coba lagi nanti sampai berapa lama coba;['apa', 'ini', 'tidak', 'bisa', 'donwload', 'sertifikat', 'vaksin', 'coba', 'lagi', 'nanti', 'sampai', 'berapa', 'lama', 'coba'];['donwload', 'sertifikat', 'vaksin', 'coba', 'coba'];donwload sertifikat vaksin coba coba;donwload sertifikat vaksin coba coba;4.0;Positif
2025-07-09 13:31:40;"baru download mau daftar gabisa tulisannya ""nomor telepon sudah dipakai"" dicoba pakai nomer lain dan email lain tetep aja gabisa selalu bertuliskan begitu. kenapa ya???";baru download mau daftar gabisa tulisannya nomor telepon sudah dipakai dicoba pakai nomer lain dan email lain tetep aja gabisa selalu bertuliskan begitu kenapa ya;baru download mau daftar gabisa tulisannya nomor telepon sudah dipakai dicoba pakai nomer lain dan email lain tetep aja gabisa selalu bertuliskan begitu kenapa ya;baru download mau daftar tidak bisa tulisannya nomor telepon sudah dipakai dicoba pakai nomer lain dan email lain tetap saja tidak bisa selalu bertuliskan begitu kenapa ya;['baru', 'download', 'mau', 'daftar', 'tidak', 'bisa', 'tulisannya', 'nomor', 'telepon', 'sudah', 'dipakai', 'dicoba', 'pakai', 'nomer', 'lain', 'dan', 'email', 'lain', 'tetap', 'saja', 'tidak', 'bisa', 'selalu', 'bertuliskan', 'begitu', 'kenapa', 'ya'];['download', 'daftar', 'tulisannya', 'nomor', 'telepon', 'dipakai', 'dicoba', 'pakai', 'nomer', 'email', 'bertuliskan', 'ya'];download daftar tulis nomor telepon pakai coba pakai nomer email tulis ya;download daftar tulis nomor telepon pakai coba pakai nomer email tulis ya;7.0;Positif
2025-07-09 08:47:12;ga bisa masukin pin padahal udah bener PINnya ,tetap salah terus ,padah dulu ga salah sebelum jadi satusehat ,jelek banget sekarang;ga bisa masukin pin padahal udah bener PINnya tetap salah terus padah dulu ga salah sebelum jadi satusehat jelek banget sekarang;ga bisa masukin pin padahal udah bener pinnya tetap salah terus padah dulu ga salah sebelum jadi satusehat jelek banget sekarang;tidak bisa memasuki pin padahal sudah benar pinnya tetap salah terus padah dulu tidak salah sebelum jadi satusehat jelek banget sekarang;['tidak', 'bisa', 'memasuki', 'pin', 'padahal', 'sudah', 'benar', 'pinnya', 'tetap', 'salah', 'terus', 'padah', 'dulu', 'tidak', 'salah', 'sebelum', 'jadi', 'satusehat', 'jelek', 'banget', 'sekarang'];['memasuki', 'pin', 'pinnya', 'salah', 'padah', 'salah', 'satusehat', 'jelek', 'banget'];pasuk pin pin salah padah salah satusehat jelek banget;pasuk pin pin salah padah salah satusehat jelek banget;-10.0;Negatif
2025-07-09 08:12:16;lebih cepat dan up to date;lebih cepat dan up to date;lebih cepat dan up to date;lebih cepat dan up tapi date;['lebih', 'cepat', 'dan', 'up', 'tapi', 'date'];['cepat', 'up', 'date'];cepat up date;cepat up date;3.0;Positif
2025-07-09 07:25:52;gajelassss OTP via Whatsapp gamsuk, Via Gmail jg gamasuk. pdhal cma mau unduh sertifikat vaksin doang abis itu uninstall. aplikasi ampasss bgt!!!!!!;gajelass OTP via Whatsapp gamsuk Via Gmail jg gamasuk pdhal cma mau unduh sertifikat vaksin doang abis itu uninstall aplikasi ampass bgt;gajelass otp via whatsapp gamsuk via gmail jg gamasuk pdhal cma mau unduh sertifikat vaksin doang abis itu uninstall aplikasi ampass bgt;gajelass otp via whatsapp gamsuk via gmail juga gamasuk padahal cuma mau unduh sertifikat vaksin doang habis itu uninstall aplikasi ampass banget;['gajelass', 'otp', 'via', 'whatsapp', 'gamsuk', 'via', 'gmail', 'juga', 'gamasuk', 'padahal', 'cuma', 'mau', 'unduh', 'sertifikat', 'vaksin', 'doang', 'habis', 'itu', 'uninstall', 'aplikasi', 'ampass', 'banget'];['gajelass', 'otp', 'via', 'whatsapp', 'gamsuk', 'via', 'gmail', 'gamasuk', 'unduh', 'sertifikat', 'vaksin', 'doang', 'habis', 'uninstall', 'aplikasi', 'ampass', 'banget'];gajelass otp via whatsapp gamsuk via gmail gamasuk unduh sertifikat vaksin doang habis uninstall aplikasi ampass banget;gajelass otp via whatsapp gamsuk via gmail gamasuk unduh sertifikat vaksin doang habis uninstall aplikasi ampass banget;1.0;Positif
2025-07-09 05:07:38;Mau login saja tidak bisa. Kode verifikasi tidak dikirimkan. Aplikasi gajelas mau cari surat vaksin aja ribet.;Mau login saja tidak bisa Kode verifikasi tidak dikirimkan Aplikasi gajelas mau cari surat vaksin aja ribet;mau login saja tidak bisa kode verifikasi tidak dikirimkan aplikasi gajelas mau cari surat vaksin aja ribet;mau login saja tidak bisa kode verifikasi tidak dikirimkan aplikasi tidak jelas mau cari surat vaksin saja ribet;['mau', 'login', 'saja', 'tidak', 'bisa', 'kode', 'verifikasi', 'tidak', 'dikirimkan', 'aplikasi', 'tidak', 'jelas', 'mau', 'cari', 'surat', 'vaksin', 'saja', 'ribet'];['login', 'kode', 'verifikasi', 'dikirimkan', 'aplikasi', 'cari', 'surat', 'vaksin', 'ribet'];login kode verifikasi kirim aplikasi cari surat vaksin ribet;login kode verifikasi kirim aplikasi cari surat vaksin ribet;-12.0;Negatif
